timestamp,vehicle_speed,target_speed,throttle_cmd,brake_cmd,pid_error,acceleration,fuel_consumption,engine_power
26.2000,15.0194,16.6700,13.0383,0.0000,1.6506,0.0880,7.7888,6.8540
26.3000,15.0282,16.6700,13.0216,0.0000,1.6418,0.0875,7.7718,6.8492
26.4000,15.0369,16.6700,13.0051,0.0000,1.6331,0.0871,7.7549,6.8445
26.5000,15.0456,16.6700,12.9887,0.0000,1.6244,0.0866,7.7382,6.8398
26.6000,15.0542,16.6700,12.9723,0.0000,1.6158,0.0861,7.7215,6.8351
26.7000,15.0628,16.6700,12.9561,0.0000,1.6072,0.0857,7.7050,6.8304
26.8000,15.0714,16.6700,12.9399,0.0000,1.5986,0.0852,7.6886,6.8258
26.9000,15.0799,16.6700,12.9238,0.0000,1.5901,0.0848,7.6724,6.8211
27.0000,15.0883,16.6700,12.9078,0.0000,1.5817,0.0843,7.6562,6.8165
27.1000,15.0967,16.6700,12.8919,0.0000,1.5733,0.0839,7.6402,6.8119
27.2000,15.1051,16.6700,12.8761,0.0000,1.5649,0.0834,7.6243,6.8073
27.3000,15.1134,16.6700,12.8604,0.0000,1.5566,0.0830,7.6085,6.8027
27.4000,15.1217,16.6700,12.8447,0.0000,1.5483,0.0825,7.5928,6.7982
27.5000,15.1299,16.6700,12.8291,0.0000,1.5401,0.0821,7.5772,6.7936
27.6000,15.1381,16.6700,12.8137,0.0000,1.5319,0.0817,7.5618,6.7891
27.7000,15.1462,16.6700,12.7983,0.0000,1.5238,0.0812,7.5464,6.7846
27.8000,15.1543,16.6700,12.7830,0.0000,1.5157,0.0808,7.5311,6.7801
27.9000,15.1624,16.6700,12.7677,0.0000,1.5076,0.0804,7.5160,6.7756
28.0000,15.1704,16.6700,12.7526,0.0000,1.4996,0.0799,7.5010,6.7712
28.1000,15.1784,16.6700,12.7375,0.0000,1.4916,0.0795,7.4860,6.7667
28.2000,15.1863,16.6700,12.7226,0.0000,1.4837,0.0791,7.4712,6.7623
28.3000,15.1942,16.6700,12.7077,0.0000,1.4758,0.0787,7.4564,6.7579
28.4000,15.2020,16.6700,12.6929,0.0000,1.4680,0.0782,7.4418,6.7535
28.5000,15.2098,16.6700,12.6781,0.0000,1.4602,0.0778,7.4273,6.7491
28.6000,15.2176,16.6700,12.6635,0.0000,1.4524,0.0774,7.4128,6.7448
28.7000,15.2253,16.6700,12.6489,0.0000,1.4447,0.0770,7.3985,6.7404
28.8000,15.2330,16.6700,12.6344,0.0000,1.4370,0.0766,7.3843,6.7361
28.9000,15.2406,16.6700,12.6200,0.0000,1.4294,0.0762,7.3701,6.7318
29.0000,15.2482,16.6700,12.6056,0.0000,1.4218,0.0758,7.3561,6.7275
29.1000,15.2558,16.6700,12.5914,0.0000,1.4142,0.0754,7.3421,6.7232
29.2000,15.2633,16.6700,12.5772,0.0000,1.4067,0.0750,7.3282,6.7189
29.3000,15.2708,16.6700,12.5631,0.0000,1.3992,0.0746,7.3144,6.7147
29.4000,15.2782,16.6700,12.5491,0.0000,1.3918,0.0742,7.3008,6.7105
29.5000,15.2856,16.6700,12.5351,0.0000,1.3844,0.0738,7.2872,6.7062
29.6000,15.2930,16.6700,12.5212,0.0000,1.3770,0.0734,7.2737,6.7020
29.7000,15.3003,16.6700,12.5074,0.0000,1.3697,0.0730,7.2602,6.6979
29.8000,15.3076,16.6700,12.4937,0.0000,1.3624,0.0726,7.2469,6.6937
29.9000,15.3148,16.6700,12.4801,0.0000,1.3552,0.0722,7.2337,6.6895
30.0000,15.3220,16.6700,12.4665,0.0000,1.3480,0.0718,7.2205,6.6854
30.1000,15.3292,16.6700,12.4530,0.0000,1.3408,0.0715,7.2074,6.6813
30.2000,15.3363,16.6700,12.4396,0.0000,1.3337,0.0711,7.1944,6.6772
30.3000,15.3434,16.6700,12.4262,0.0000,1.3266,0.0707,7.1815,6.6731
